city,lat,lon,city_score,score_normalized
Strasbourg,48.5846,7.7507,2.4285714285714284,1.0
Le Havre,49.4939,0.108,1.8571428571428572,0.875
Lille,50.6366,3.0635,1.8571428571428572,0.875
Paris,48.8535,2.3484,1.8571428571428572,0.875
Amiens,49.8942,2.2957,1.7142857142857142,0.84375
Colmar,48.0778,7.358,1.7142857142857142,0.84375
Rouen,49.4405,1.094,1.7142857142857142,0.84375
Besancon,47.238,6.0244,1.5714285714285714,0.8125000000000001
Dijon,47.3216,5.0415,1.5714285714285714,0.8125000000000001
Annecy,45.8992,6.1289,1.4285714285714286,0.78125
Chateau du Haut Koenigsbourg,48.2494,7.3439,1.4285714285714286,0.78125
Eguisheim,48.0448,7.308,1.4285714285714286,0.78125
Bayeux,49.2765,-0.7025,1.2857142857142858,0.7500000000000001
Gorges du Verdon,43.7497,6.3286,1.1428571428571428,0.71875
Ariege,42.9455,1.4066,0.8571428571428571,0.65625
Lyon,45.7578,4.832,0.7142857142857143,0.625
Mont Saint Michel,48.636,-1.5115,0.7142857142857143,0.625
St Malo,48.6495,-2.026,0.5714285714285714,0.5937500000000001
Montauban,44.0176,1.355,0.42857142857142855,0.5625
Collioure,42.5251,3.0832,0.14285714285714285,0.5
Aix en Provence,43.5298,5.4475,0.0,0.46875
Avignon,43.9492,4.8059,0.0,0.46875
Carcassonne,43.213,2.3491,0.0,0.46875
Grenoble,45.1876,5.7358,0.0,0.46875
La Rochelle,46.1597,-1.1516,-0.14285714285714285,0.4375
Toulouse,43.6045,1.4442,-0.14285714285714285,0.4375
Bayonne,43.4945,-1.4737,-0.42857142857142855,0.375
Cassis,43.214,5.5396,-0.42857142857142855,0.375
Biarritz,43.4833,-1.5593,-0.5714285714285714,0.34375
Bormes les Mimosas,43.1507,6.3419,-0.5714285714285714,0.34375
Marseille,43.2962,5.37,-0.7142857142857143,0.3125
Uzes,44.0121,4.4197,-0.7142857142857143,0.3125
Nimes,43.8374,4.3601,-1.1428571428571428,0.21875
Saintes Maries de la mer,43.4516,4.4277,-1.8571428571428572,0.06249999999999997
Aigues Mortes,43.5662,4.1915,-2.142857142857143,0.0
